make table:							
							
M	Fe/H	corrected DeltaCN (APOKASC)	corrected Delta CN Shetrone	r_brown_1	r_kip_.1	r_kip_2	r_kip_700
							
0.9	-1.4	nan	0.73	0.00006	0.00013	0.00006	0.00013
0.9	-1.2	nan	0.67	0.00006	0.00013	0.00006	0.00013
0.9	-1	 nan	0.48	0.00008	0.00015	0.00008	0.00017
0.9	-0.8	0.52	0.36	0.00010	0.00016	0.00009	0.00022
0.9	-0.6	0.29	0.27	0.00012	0.00018	0.00012	0.0003
0.9	-0.4	0.16	0.21	0.00015	0.0002	0.00015	0.00038
1.1	-0.4	0.13	nan	0.00020	0.00024	0.00020	0.00031
1.3	-0.4	0.07	nan	0.00029	0.00027	0.00037	0.00029
1.5	-0.4	0.10	nan	0.00044	0.00029	0.00051	0.00029
0.9	-0.2	0.20	nan	0.00020	0.00023	0.00019	0.00053
1.1	-0.2	0.11	nan	0.00027	0.00028	0.00026	0.00043
1.3	-0.2	0.09	nan	0.00037	0.00032	0.00044	0.0004
1.5	-0.2	0.10	nan	0.00055	0.00034	0.00062	0.0004
1.1	0	0.14	nan	0.00034	0.00032	0.00033	0.00055
1.3	0	0.05	nan	0.00047	0.00037	0.00054	0.00053
1.5	0	0.09	nan	0.00068	0.0004	0.00076	0.00053
1.7	0	0.02	nan	0.00100	0.00042	0.00093	0.00057
1.1	0.2	0.12	nan	0.00044	0.00038	0.00043	0.00072
1.3	0.2	0.00	nan	0.00062	0.00044	0.00068	0.0007
1.5	0.2	0.01	nan	0.00091	0.00047	0.00098	0.00074
1.7	0.2	0.00	nan	0.00136	0.00051	0.00119	0.00082
1.1	0.4	0.04	nan	0.00059	0.00045	0.00058	0.00093
1.3	0.4	0.01	nan	0.00086	0.00052	0.00092	0.00094

