element     A           errA        awt
H           12.00       0.00        1.008
He          10.93       0.00        4.0026
Li           3.31       0.10        6.939
Be           1.42       0.1         9.0122
B            2.79       0.04        10.811
C            8.52       0.05        12.0111
N            7.92       0.07        14.0067
O            8.83       0.07        15.9994
Ne           8.08       0.06        20.179
Na           6.32       0.03        22.9898
Mg           7.58       0.05        24.305
Al           6.49       0.07        26.9815
Si           7.56       0.05        28.086
P            5.50       0.04        30.9738
S            7.22       0.06        32.06
Cl           5.28       0.30        35.453
Ar           6.40       0.14        39.948
Ca           6.35       0.03        40.08
Ti           4.98       0.02        47.9
Cr           5.69       0.03        51.996
Mn           5.51       0.03        54.938
Fe           7.50       0.01        55.847
Ni           6.25       0.04        58.71
